title,published_date,link
#151 Gradual Typing of Production Applications,"Fri, 16 Feb 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/151/gradual-typing-of-production-applications
#150 Technical Lessons Learned from Pythonic Refactoring,"Thu, 08 Feb 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/150/technical-lessons-learned-from-pythonic-refactoring
"#149 4 Python Web Frameworks, Compared","Fri, 02 Feb 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/149/4-python-web-frameworks-compared
#148 Python Book Authors'  Panel Discussion,"Sun, 28 Jan 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/148/python-book-authors-panel-discussion
"#147 Quart: Flask, but 3x faster","Fri, 19 Jan 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/147/quart-flask-but-3x-faster
#146 Building Alexa Skills with Python and Flask,"Thu, 11 Jan 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/146/building-alexa-skills-with-python-and-flask
#145 2017 Python Year in Review,"Sun, 31 Dec 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/145/2017-python-year-in-review
#144 Machine Learning at the Large Hadron Collider,"Tue, 26 Dec 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/144/machine-learning-at-the-large-hadron-collider
#143 Tuning Python Web App Performance,"Wed, 20 Dec 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/143/tuning-python-web-app-performance
#142 Automating the web with Selenium and InstaPy,"Wed, 13 Dec 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/142/automating-the-web-with-selenium-and-instapy
#141 Python tricks,"Thu, 07 Dec 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/141/python-tricks
#140 Level up your Python with #100DaysOfCode challenge,"Wed, 29 Nov 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/140/level-up-your-python-with-100daysofcode-challenge
#139 Paths into a data science career,"Wed, 22 Nov 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/139/paths-into-a-data-science-career
"#138 Anvil: All web, all Python","Wed, 15 Nov 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/138/anvil-all-web-all-python
#137 Design concepts and tips for developers,"Wed, 08 Nov 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/137/design-concepts-and-tips-for-developers
#136 Secure code lessons from Have I Been Pwned,"Thu, 02 Nov 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/136/secure-code-lessons-from-have-i-been-pwned
#135 Capturing human moments with AI and Python,"Fri, 27 Oct 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/135/capturing-human-moments-with-ai-and-python
#134 Python in Climate Science,"Thu, 19 Oct 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/134/python-in-climate-science
#133 Productivity for developers,"Wed, 11 Oct 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/133/productivity-for-developers
#132 Contributing to open source,"Wed, 04 Oct 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/132/contributing-to-open-source
#131 Top 10 machine learning libraries,"Tue, 26 Sep 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/131/top-10-machine-learning-libraries
#130 10 books Python developers should be reading,"Tue, 19 Sep 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/130/10-books-python-developers-should-be-reading
#129 Falcon: The bare-metal Python web framework,"Thu, 14 Sep 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/129/falcon-the-bare-metal-python-web-framework
#128 Pythonic Networks with NAPALM,"Thu, 07 Sep 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/128/pythonic-networks-with-napalm
#127 Shipping software to users,"Thu, 31 Aug 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/127/shipping-software-to-users
#126 Kubernetes for Pythonistas ,"Tue, 22 Aug 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/126/kubernetes-for-pythonistas
#125 Django REST framework and a new API star is born,"Tue, 15 Aug 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/125/django-rest-framework-and-a-new-api-star-is-born
#124 Python for AI research,"Mon, 07 Aug 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/124/python-for-ai-research
#123 Lessons from 100 straight dev job interviews,"Mon, 31 Jul 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/123/lessons-from-100-straight-dev-job-interviews
#122 Home Assistant: Pythonic Home Automation,"Wed, 26 Jul 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/122/home-assistant-pythonic-home-automation
#121 Microservices in Python,"Wed, 19 Jul 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/121/microservices-in-python
#120 Python in Finance,"Wed, 12 Jul 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/120/python-in-finance
#119 Python in Engineering,"Thu, 06 Jul 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/119/python-in-engineering
#118 Serverless software,"Tue, 27 Jun 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/118/serverless-software
#117 Functional Python with Coconut,"Wed, 21 Jun 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/117/functional-python-with-coconut
#116 10 top talks of PyCon 2017 reviewed,"Mon, 12 Jun 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/116/10-top-talks-of-pycon-2017-reviewed
#115 Python for Humans projects,"Thu, 08 Jun 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/115/python-for-humans-projects
#114 Empowering developers at the Hidden Genius project,"Tue, 30 May 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/114/empowering-developers-at-the-hidden-genius-project
#113 Dedicated AI chips and running old Python faster at Intel,"Sat, 27 May 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/113/dedicated-ai-chips-and-running-old-python-faster-at-intel
#112 Geeking out in the golden years,"Thu, 18 May 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/112/geeking-out-in-the-golden-years
#111 Pythonic Career Advice and More,"Sat, 13 May 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/111/pythonic-career-advice-and-more
#110 Data Democratization with Redash,"Tue, 02 May 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/110/data-democratization-with-redash
#109 MongoDB Applied Design Patterns,"Sat, 29 Apr 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/109/mongodb-applied-design-patterns
#108 MicroPython and Open Source Hardware at Adafruit,"Fri, 21 Apr 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/108/micropython-and-open-source-hardware-at-adafruit
#107 Python concurrency with Curio,"Sat, 15 Apr 2017 00:00:00 -0800",https://talkpython.fm/episodes/show/107/python-concurrency-with-curio
